Building and use of expanded dugout boats in the Soomaa region,USL,https://ich.unesco.org/en/USL/building-and-use-of-expanded-dugout-boats-in-the-soomaa-region-01680,Estonia
"Tais, traditional textile",USL,https://ich.unesco.org/en/USL/tais-traditional-textile-01688,Timor-Leste
"Cultural practices and expressions linked to the 'M’Bolon', a traditional musical percussion instrument",USL,https://ich.unesco.org/en/USL/cultural-practices-and-expressions-linked-to-the-m-bolon-a-traditional-musical-percussion-instrument-01689,Mali
Carolinian wayfinding and canoe making,USL,https://ich.unesco.org/en/USL/carolinian-wayfinding-and-canoe-making-01735,Micronesia (Federated States of)
Quinchamalí and Santa Cruz de Cuca pottery,USL,https://ich.unesco.org/en/USL/quinchamali-and-santa-cruz-de-cuca-pottery-01847,Chile
Culture of Ukrainian borscht cooking,USL,https://ich.unesco.org/en/USL/culture-of-ukrainian-borscht-cooking-01852,Ukraine
"Xhubleta, skills, craftsmanship and forms of usage",USL,https://ich.unesco.org/en/USL/xhubleta-skills-craftsmanship-and-forms-of-usage-01880,Albania
Reog Ponorogo performing art,USL,https://ich.unesco.org/en/USL/reog-ponorogo-performing-art-01969,Indonesia
Traditional Syrian glassblowing,USL,https://ich.unesco.org/en/USL/traditional-syrian-glassblowing-01956,Syrian Arab Republic
"Traditional knowledge, methods and practices concerning olive cultivation",USL,https://ich.unesco.org/en/USL/traditional-knowledge-methods-and-practices-concerning-olive-cultivation-01983,Türkiye
"Ancestral and traditional techniques for the elaboration of the 'Poncho Para'i de 60 Listas', from the city of Piribebuy, Republic of Paraguay",USL,https://ich.unesco.org/en/USL/ancestral-and-traditional-techniques-for-the-elaboration-of-the-poncho-para-i-de-60-listas-from-the-city-of-piribebuy-republic-of-paraguay-01992,Paraguay
Ingoma Ya Mapiko,USL,https://ich.unesco.org/en/USL/ingoma-ya-mapiko-01996,Mozambique
Xeedho,USL,https://ich.unesco.org/en/USL/xeedho-02001,Djibouti
Wosana ritual and associated practices,USL,https://ich.unesco.org/en/USL/wosana-ritual-and-associated-practices-02117,Botswana
